schema_version	query_id	query_class	profile	threads	candidate_limit	cache_block_bytes	repeat	status	exit_code	wall_seconds	user_seconds	system_seconds	peak_rss_kib	candidate_count	alignment_count	output_bytes	archive_count	archive_size_bytes	archive_build_wall_seconds	archive_build_cpu_seconds	metadata_requests	head_requests	get_requests	range_requests	stream_requests	requested_bytes	returned_bytes	decoded_bytes	remote_bytes	cache_bytes	cache_hits	cache_misses	cache_evictions	stale_cache_rejections	retries	full_object_fallbacks	seed_buckets_read	sequence_blocks_read	seed_count_proxy	bucket_count_proxy	anchor_count_proxy	chain_count_proxy	sequence_count_proxy	alignment_count_proxy	output_bytes_proxy	thread_count_proxy
1.0.0	J01749.1__q2000	small	balanced	8	1	16384	1	complete	0	0.02981924499908928	0.019822	0.012428	76808	1	1	6268	3	26032220			14	0	0	12	0	1382345	1382345	1315955	0	23264	3	85	0	0	0	0	7	1		14			2		6268	8
1.0.0	J01749.1__q2000	small	balanced	8	1	65536	1	complete	0	0.028051419998519123	0.017977	0.012234	76628	1	1	6268	3	26032220			14	0	0	12	0	1693641	1693641	1315955	0	53414	3	26	0	0	0	0	7	1		14			2		6268	8
1.0.0	J01749.1__q2000	small	balanced	8	1	262144	1	complete	0	0.030326455998874735	0.016904	0.015907	75300	1	1	6271	3	26032220			14	0	0	12	0	3004361	3004361	1315955	0	61030	4	12	0	0	0	0	7	1		14			2		6271	8
1.0.0	J01749.1__q2000	small	balanced	8	1	1048576	1	complete	0	0.031966881004336756	0.016627	0.018601	85076	1	1	6272	3	26032220			14	0	0	12	0	6412233	6412233	1315955	0	75206	6	7	0	0	0	0	7	1		14			2		6272	8
1.0.0	J01749.1__q2000	small	balanced	8	100	16384	1	complete	0	0.02800048499921104	0.019968	0.010589	74180	1	1	6274	3	26032220			14	0	0	12	0	1382345	1382345	1315955	0	23264	3	85	0	0	0	0	7	1		14			2		6274	8
1.0.0	J01749.1__q2000	small	balanced	8	100	65536	1	complete	0	0.028538885002490133	0.018133	0.01281	74980	1	1	6274	3	26032220			14	0	0	12	0	1693641	1693641	1315955	0	53414	3	26	0	0	0	0	7	1		14			2		6274	8
1.0.0	J01749.1__q2000	small	balanced	8	100	262144	1	complete	0	0.033766645996365696	0.02079	0.015347	77280	1	1	6277	3	26032220			14	0	0	12	0	3004361	3004361	1315955	0	61030	4	12	0	0	0	0	7	1		14			2		6277	8
1.0.0	J01749.1__q2000	small	balanced	8	100	1048576	1	complete	0	0.034389843996905256	0.020343999999999998	0.017174	82028	1	1	6278	3	26032220			14	0	0	12	0	6412233	6412233	1315955	0	75206	6	7	0	0	0	0	7	1		14			2		6278	8
1.0.0	J01749.1__q2000	small	balanced	16	1	16384	1	complete	0	0.02982016700116219	0.020222	0.014841	109556	1	1	6271	3	26032220			14	0	0	12	0	1382345	1382345	1315955	0	23264	3	85	0	0	0	0	7	1		14			2		6271	16
1.0.0	J01749.1__q2000	small	balanced	16	1	65536	1	complete	0	0.029622276000736747	0.018194	0.017114	109884	1	1	6271	3	26032220			14	0	0	12	0	1693641	1693641	1315955	0	53414	3	26	0	0	0	0	7	1		14			2		6271	16
1.0.0	J01749.1__q2000	small	balanced	16	1	262144	1	complete	0	0.03115377700305544	0.017825	0.018791	109864	1	1	6274	3	26032220			14	0	0	12	0	3004361	3004361	1315955	0	61030	4	12	0	0	0	0	7	1		14			2		6274	16
1.0.0	J01749.1__q2000	small	balanced	16	1	1048576	1	complete	0	0.03414494499884313	0.019660999999999998	0.02063	120132	1	1	6275	3	26032220			14	0	0	12	0	6412233	6412233	1315955	0	75206	6	7	0	0	0	0	7	1		14			2		6275	16
1.0.0	J01749.1__q2000	small	balanced	16	100	16384	1	complete	0	0.03542691800248576	0.015902	0.023703	109756	1	1	6277	3	26032220			14	0	0	12	0	1382345	1382345	1315955	0	23264	3	85	0	0	0	0	7	1		14			2		6277	16
